model,model_dir,quality,samples,accuracy,auc,precision,recall,f1,loss,auc_drop,f1_drop
baseline,model\deploy\baseline,original,1092,0.7811355311355311,0.8553779581705047,0.7413249211356467,0.8623853211009175,0.7972858354537745,0.6323873534280083,0.0,0.0
baseline,model\deploy\baseline,jpeg_q95,1092,0.7793040293040293,0.855102896533217,0.7397476340694006,0.8605504587155963,0.7955894826123833,0.6324364382350619,0.00027506163728763244,0.0016963528413912465
baseline,model\deploy\baseline,jpeg_q75,1092,0.7673992673992674,0.85299968133103,0.7248840803709428,0.8605504587155963,0.7869127516778522,0.6484367020919428,0.002378276839474669,0.010373083775922276
baseline,model\deploy\baseline,jpeg_q50,1092,0.7701465201465202,0.8521375979068481,0.7289719626168224,0.8587155963302753,0.788542544229149,0.6519322532328057,0.0032403602636565942,0.008743291224625471
baseline,model\deploy\baseline,jpeg_q30,1092,0.7564102564102564,0.8492796404072254,0.7110438729198184,0.8623853211009175,0.7794361525704808,0.6840088828006289,0.006098317763279293,0.017849682883293694
fusion_v2,model\deploy\fusion_v2,original,1092,0.8333333333333334,0.9014340103651276,0.8258527827648114,0.8440366972477065,0.8348457350272233,0.7718834108082431,0.0,0.0
fusion_v2,model\deploy\fusion_v2,jpeg_q95,1092,0.8315018315018315,0.9015312882612415,0.8240574506283662,0.8422018348623853,0.8330308529945553,0.7709052009566009,-9.727789611391202e-05,0.001814882032667997
fusion_v2,model\deploy\fusion_v2,jpeg_q75,1092,0.826007326007326,0.9022675813025175,0.8186714542190305,0.8366972477064221,0.8275862068965517,0.7473112230377627,-0.0008335709373898936,0.007259528130671544
fusion_v2,model\deploy\fusion_v2,jpeg_q50,1092,0.8278388278388278,0.8979286516948157,0.8311688311688312,0.8220183486238533,0.826568265682657,0.7680944560328925,0.0035053586703118755,0.008277469344566302
fusion_v2,model\deploy\fusion_v2,jpeg_q30,1092,0.8104395604395604,0.8921875786189893,0.8118081180811808,0.8073394495412844,0.8095676172953081,0.8098057130327783,0.009246431746138262,0.02527811773191513
fusion_v3,model\deploy\fusion_v3,original,1092,0.8296703296703297,0.9008117672710195,0.8355140186915888,0.8201834862385321,0.8277777777777778,0.8475457150818959,0.0,0.0
fusion_v3,model\deploy\fusion_v3,jpeg_q95,1092,0.8278388278388278,0.900431041712091,0.8336448598130841,0.818348623853211,0.8259259259259261,0.8511197602851491,0.00038072555892854076,0.0018518518518517713
fusion_v3,model\deploy\fusion_v3,jpeg_q75,1092,0.825091575091575,0.8985609580195563,0.8365019011406845,0.8073394495412844,0.8216619981325864,0.8746427805256315,0.0022508092514632594,0.006115779645191388
fusion_v3,model\deploy\fusion_v3,jpeg_q50,1092,0.8360805860805861,0.897311440216024,0.8479087452471483,0.818348623853211,0.8328664799253035,0.8751502789018026,0.003500327054995478,-0.005088702147525659
fusion_v3,model\deploy\fusion_v3,jpeg_q30,1092,0.8177655677655677,0.8927611827650404,0.8314176245210728,0.7963302752293578,0.8134957825679475,0.9299719540334251,0.008050584505979175,0.014281995209830312
