threshold,samples,accuracy,auc,precision,recall,f1,tp,fp,tn,fn,predicted_fake,predicted_real,false_positive_rate,false_negative_rate
0.2,1092,0.8195970695970696,0.9014340103651276,0.7871287128712872,0.8752293577981651,0.8288444830582102,477,129,418,68,606,486,0.23583180987202926,0.12477064220183487
0.25,1092,0.8232600732600732,0.9014340103651276,0.7953020134228188,0.8697247706422019,0.8308501314636284,474,122,425,71,596,496,0.2230347349177331,0.13027522935779817
0.3,1092,0.8269230769230769,0.9014340103651276,0.8037542662116041,0.8642201834862385,0.8328912466843501,471,115,432,74,586,506,0.21023765996343693,0.13577981651376148
0.35,1092,0.8296703296703297,0.9014340103651276,0.8078902229845626,0.8642201834862385,0.8351063829787234,471,112,435,74,583,509,0.20475319926873858,0.13577981651376148
0.4,1092,0.8296703296703297,0.9014340103651276,0.8110918544194108,0.8587155963302753,0.8342245989304813,468,109,438,77,577,515,0.19926873857404023,0.14128440366972478
0.45,1092,0.8305860805860806,0.9014340103651276,0.8191489361702128,0.8477064220183487,0.8331830477908025,462,102,445,83,564,528,0.18647166361974407,0.15229357798165138
0.5,1092,0.8333333333333334,0.9014340103651276,0.8258527827648114,0.8440366972477065,0.8348457350272233,460,97,450,85,557,535,0.1773308957952468,0.1559633027522936
0.55,1092,0.8315018315018315,0.9014340103651276,0.8252252252252252,0.8403669724770643,0.8327272727272729,458,97,450,87,555,537,0.1773308957952468,0.1596330275229358
0.6,1092,0.8287545787545788,0.9014340103651276,0.8254545454545454,0.8330275229357799,0.8292237442922374,454,96,451,91,550,542,0.17550274223034734,0.1669724770642202
0.65,1092,0.8342490842490843,0.9014340103651276,0.837037037037037,0.8293577981651377,0.8331797235023041,452,88,459,93,540,552,0.16087751371115175,0.1706422018348624
0.7,1092,0.8315018315018315,0.9014340103651276,0.8361266294227188,0.8238532110091743,0.8299445471349353,449,88,459,96,537,555,0.16087751371115175,0.1761467889908257
0.75,1092,0.8342490842490843,0.9014340103651276,0.8433962264150944,0.8201834862385321,0.8316279069767443,447,83,464,98,530,562,0.15173674588665448,0.1798165137614679
0.8,1092,0.8342490842490843,0.9014340103651276,0.85,0.8110091743119267,0.8300469483568076,442,78,469,103,520,572,0.1425959780621572,0.1889908256880734
